persona,persona_dimension_list,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",32,45,46,37,37
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",28,45,41,37,33
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",30,45,39,34,39
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",33,42,36,31,33
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",30,44,44,37,35
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",30,44,43,37,35
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",34,46,37,35,39
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",33,48,36,32,33
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",30,43,47,40,34
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",28,43,42,35,32
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",28,43,36,36,38
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",33,44,35,28,28
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",26,40,37,36,35
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",29,46,41,32,28
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",30,46,39,33,41
