persona,persona_dimension_list,Harm_Care_score,Fairness_Reciprocity_score,In-group_Loyalty_score,Authority_Respect_score,Purity_Sanctity_score
"highly open to experience, conscientious, extroverted, agreeable and neurotic","['highly open to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",11,14,10,8,6
"slightly open to experience, conscientious, extroverted, agreeable and neurotic","['slightly open to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",10,12,9,8,6
"open to experience, highly conscientious, extroverted, agreeable and neurotic","['open to experience', 'highly conscientious', 'extroverted', 'agreeable', 'neurotic']",11,14,10,8,6
"open to experience, slightly conscientious, extroverted, agreeable and neurotic","['open to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'neurotic']",11,13,9,8,6
"open to experience, conscientious, highly extroverted, agreeable and neurotic","['open to experience', 'conscientious', 'highly extroverted', 'agreeable', 'neurotic']",11,14,10,8,6
"open to experience, conscientious, slightly extroverted, agreeable and neurotic","['open to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'neurotic']",11,14,9,8,6
"open to experience, conscientious, extroverted, highly agreeable and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly agreeable', 'neurotic']",11,14,10,8,6
"open to experience, conscientious, extroverted, slightly agreeable and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'neurotic']",12,12,9,8,6
"open to experience, conscientious, extroverted, agreeable and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'highly neurotic']",11,14,9,8,6
"open to experience, conscientious, extroverted, agreeable and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly neurotic']",11,14,9,8,6
"highly open to experience, conscientious, extroverted, agreeable and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",11,14,10,8,8
"slightly open to experience, conscientious, extroverted, agreeable and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",11,12,9,8,7
"open to experience, highly conscientious, extroverted, agreeable and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",11,14,10,8,10
"open to experience, slightly conscientious, extroverted, agreeable and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",11,13,9,8,7
"open to experience, conscientious, highly extroverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",11,14,10,8,8
"open to experience, conscientious, slightly extroverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",11,13,9,8,7
"open to experience, conscientious, extroverted, highly agreeable and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",11,14,9,8,10
"open to experience, conscientious, extroverted, slightly agreeable and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",11,12,9,8,6
