persona,persona_dimension_list,Harm_Care_score,Fairness_Reciprocity_score,In-group_Loyalty_score,Authority_Respect_score,Purity_Sanctity_score
"highly open to experience, conscientious, extroverted, agreeable and neurotic","['highly open to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",15,15,15,14,14
"slightly open to experience, conscientious, extroverted, agreeable and neurotic","['slightly open to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",15,13,12,12,12
"open to experience, highly conscientious, extroverted, agreeable and neurotic","['open to experience', 'highly conscientious', 'extroverted', 'agreeable', 'neurotic']",15,15,13,13,14
"open to experience, slightly conscientious, extroverted, agreeable and neurotic","['open to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'neurotic']",15,13,10,12,11
"open to experience, conscientious, highly extroverted, agreeable and neurotic","['open to experience', 'conscientious', 'highly extroverted', 'agreeable', 'neurotic']",15,15,13,14,12
"open to experience, conscientious, slightly extroverted, agreeable and neurotic","['open to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'neurotic']",13,15,12,12,11
"open to experience, conscientious, extroverted, highly agreeable and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly agreeable', 'neurotic']",15,15,14,15,14
"open to experience, conscientious, extroverted, slightly agreeable and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'neurotic']",13,12,12,12,12
"open to experience, conscientious, extroverted, agreeable and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'highly neurotic']",15,15,14,13,12
"open to experience, conscientious, extroverted, agreeable and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly neurotic']",15,14,13,13,12
"highly open to experience, conscientious, extroverted, agreeable and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,15,14,15,12
"slightly open to experience, conscientious, extroverted, agreeable and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,12,11,12,12
"open to experience, highly conscientious, extroverted, agreeable and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,15,14,13,10
"open to experience, slightly conscientious, extroverted, agreeable and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,12,10,12,12
"open to experience, conscientious, highly extroverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",15,15,12,13,12
"open to experience, conscientious, slightly extroverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",15,14,12,12,12
"open to experience, conscientious, extroverted, highly agreeable and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",15,15,13,13,13
"open to experience, conscientious, extroverted, slightly agreeable and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",14,13,12,11,12
"open to experience, conscientious, extroverted, agreeable and highly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'highly emotionally stable']",15,15,14,12,11
"open to experience, conscientious, extroverted, agreeable and slightly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly emotionally stable']",15,14,11,12,10
"highly open to experience, conscientious, extroverted, antagonistic and neurotic","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",3,5,5,8,5
"slightly open to experience, conscientious, extroverted, antagonistic and neurotic","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",5,11,6,8,9
"open to experience, highly conscientious, extroverted, antagonistic and neurotic","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'neurotic']",5,13,4,5,6
"open to experience, slightly conscientious, extroverted, antagonistic and neurotic","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'neurotic']",3,10,3,5,3
"open to experience, conscientious, highly extroverted, antagonistic and neurotic","['open to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'neurotic']",2,6,2,8,5
"open to experience, conscientious, slightly extroverted, antagonistic and neurotic","['open to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",7,8,4,7,7
"open to experience, conscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'neurotic']",3,8,2,2,0
"open to experience, conscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",14,13,9,11,9
"open to experience, conscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly neurotic']",2,7,4,4,4
"open to experience, conscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",3,10,5,4,9
"highly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",1,4,4,5,1
"slightly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",4,6,6,9,6
"open to experience, highly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",0,3,8,5,1
"open to experience, slightly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",3,11,4,3,4
"open to experience, conscientious, highly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",1,3,4,5,1
"open to experience, conscientious, slightly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",3,6,4,7,5
"open to experience, conscientious, extroverted, highly antagonistic and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",1,1,2,2,1
"open to experience, conscientious, extroverted, slightly antagonistic and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",15,12,10,10,6
"open to experience, conscientious, extroverted, antagonistic and highly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",11,6,7,2,1
"open to experience, conscientious, extroverted, antagonistic and slightly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",2,9,6,5,2
"highly open to experience, conscientious, introverted, agreeable and neurotic","['highly open to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",15,14,13,12,13
"slightly open to experience, conscientious, introverted, agreeable and neurotic","['slightly open to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",12,11,10,12,11
"open to experience, highly conscientious, introverted, agreeable and neurotic","['open to experience', 'highly conscientious', 'introverted', 'agreeable', 'neurotic']",15,15,14,13,13
"open to experience, slightly conscientious, introverted, agreeable and neurotic","['open to experience', 'slightly conscientious', 'introverted', 'agreeable', 'neurotic']",14,12,10,11,10
"open to experience, conscientious, highly introverted, agreeable and neurotic","['open to experience', 'conscientious', 'highly introverted', 'agreeable', 'neurotic']",15,15,11,12,12
"open to experience, conscientious, slightly introverted, agreeable and neurotic","['open to experience', 'conscientious', 'slightly introverted', 'agreeable', 'neurotic']",15,13,11,13,12
"open to experience, conscientious, introverted, highly agreeable and neurotic","['open to experience', 'conscientious', 'introverted', 'highly agreeable', 'neurotic']",15,15,13,13,14
"open to experience, conscientious, introverted, slightly agreeable and neurotic","['open to experience', 'conscientious', 'introverted', 'slightly agreeable', 'neurotic']",14,13,10,11,10
"open to experience, conscientious, introverted, agreeable and highly neurotic","['open to experience', 'conscientious', 'introverted', 'agreeable', 'highly neurotic']",15,14,13,12,14
"open to experience, conscientious, introverted, agreeable and slightly neurotic","['open to experience', 'conscientious', 'introverted', 'agreeable', 'slightly neurotic']",13,12,12,10,12
"highly open to experience, conscientious, introverted, agreeable and emotionally stable","['highly open to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",15,15,11,12,10
"slightly open to experience, conscientious, introverted, agreeable and emotionally stable","['slightly open to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",13,12,10,12,11
"open to experience, highly conscientious, introverted, agreeable and emotionally stable","['open to experience', 'highly conscientious', 'introverted', 'agreeable', 'emotionally stable']",15,14,14,14,13
"open to experience, slightly conscientious, introverted, agreeable and emotionally stable","['open to experience', 'slightly conscientious', 'introverted', 'agreeable', 'emotionally stable']",15,12,10,11,12
"open to experience, conscientious, highly introverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'highly introverted', 'agreeable', 'emotionally stable']",15,14,12,13,12
"open to experience, conscientious, slightly introverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",15,13,11,11,11
"open to experience, conscientious, introverted, highly agreeable and emotionally stable","['open to experience', 'conscientious', 'introverted', 'highly agreeable', 'emotionally stable']",15,14,14,13,13
"open to experience, conscientious, introverted, slightly agreeable and emotionally stable","['open to experience', 'conscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",14,12,9,12,10
"open to experience, conscientious, introverted, agreeable and highly emotionally stable","['open to experience', 'conscientious', 'introverted', 'agreeable', 'highly emotionally stable']",15,15,13,13,9
"open to experience, conscientious, introverted, agreeable and slightly emotionally stable","['open to experience', 'conscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",15,12,12,12,12
"highly open to experience, conscientious, introverted, antagonistic and neurotic","['highly open to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",9,10,6,5,4
"slightly open to experience, conscientious, introverted, antagonistic and neurotic","['slightly open to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",7,10,6,6,9
"open to experience, highly conscientious, introverted, antagonistic and neurotic","['open to experience', 'highly conscientious', 'introverted', 'antagonistic', 'neurotic']",7,13,5,8,7
"open to experience, slightly conscientious, introverted, antagonistic and neurotic","['open to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'neurotic']",3,5,4,4,6
"open to experience, conscientious, highly introverted, antagonistic and neurotic","['open to experience', 'conscientious', 'highly introverted', 'antagonistic', 'neurotic']",3,5,4,4,10
"open to experience, conscientious, slightly introverted, antagonistic and neurotic","['open to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'neurotic']",3,7,5,6,8
"open to experience, conscientious, introverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'introverted', 'highly antagonistic', 'neurotic']",2,4,4,2,5
"open to experience, conscientious, introverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'neurotic']",13,13,6,8,9
"open to experience, conscientious, introverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'highly neurotic']",3,6,5,2,3
"open to experience, conscientious, introverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly neurotic']",4,9,6,6,5
"highly open to experience, conscientious, introverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",2,10,5,7,5
"slightly open to experience, conscientious, introverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",5,8,6,5,5
"open to experience, highly conscientious, introverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",1,6,4,7,3
"open to experience, slightly conscientious, introverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",2,3,6,4,4
"open to experience, conscientious, highly introverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'highly introverted', 'antagonistic', 'emotionally stable']",7,6,6,4,3
"open to experience, conscientious, slightly introverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'emotionally stable']",9,5,5,4,3
"open to experience, conscientious, introverted, highly antagonistic and emotionally stable","['open to experience', 'conscientious', 'introverted', 'highly antagonistic', 'emotionally stable']",1,2,0,2,2
"open to experience, conscientious, introverted, slightly antagonistic and emotionally stable","['open to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'emotionally stable']",15,11,8,8,6
"open to experience, conscientious, introverted, antagonistic and highly emotionally stable","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'highly emotionally stable']",2,5,1,6,3
"open to experience, conscientious, introverted, antagonistic and slightly emotionally stable","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly emotionally stable']",3,8,6,6,3
"highly open to experience, unconscientious, extroverted, agreeable and neurotic","['highly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",15,14,14,14,7
"slightly open to experience, unconscientious, extroverted, agreeable and neurotic","['slightly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",15,13,12,11,12
"open to experience, highly unconscientious, extroverted, agreeable and neurotic","['open to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'neurotic']",15,14,11,14,8
"open to experience, slightly unconscientious, extroverted, agreeable and neurotic","['open to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'neurotic']",15,12,11,11,10
"open to experience, unconscientious, highly extroverted, agreeable and neurotic","['open to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'neurotic']",15,15,13,13,8
"open to experience, unconscientious, slightly extroverted, agreeable and neurotic","['open to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'neurotic']",15,13,11,13,9
"open to experience, unconscientious, extroverted, highly agreeable and neurotic","['open to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'neurotic']",15,15,13,14,11
"open to experience, unconscientious, extroverted, slightly agreeable and neurotic","['open to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'neurotic']",13,12,9,8,4
"open to experience, unconscientious, extroverted, agreeable and highly neurotic","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly neurotic']",10,15,12,15,9
"open to experience, unconscientious, extroverted, agreeable and slightly neurotic","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly neurotic']",15,14,12,12,10
"highly open to experience, unconscientious, extroverted, agreeable and emotionally stable","['highly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,15,14,8,12
"slightly open to experience, unconscientious, extroverted, agreeable and emotionally stable","['slightly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,13,11,12,9
"open to experience, highly unconscientious, extroverted, agreeable and emotionally stable","['open to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,14,11,12,9
"open to experience, slightly unconscientious, extroverted, agreeable and emotionally stable","['open to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,13,12,11,9
"open to experience, unconscientious, highly extroverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",15,15,12,15,9
"open to experience, unconscientious, slightly extroverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",15,14,11,12,9
"open to experience, unconscientious, extroverted, highly agreeable and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",15,15,14,14,10
"open to experience, unconscientious, extroverted, slightly agreeable and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",10,12,9,11,4
"open to experience, unconscientious, extroverted, agreeable and highly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly emotionally stable']",15,15,14,13,11
"open to experience, unconscientious, extroverted, agreeable and slightly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly emotionally stable']",15,13,12,12,9
"highly open to experience, unconscientious, extroverted, antagonistic and neurotic","['highly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",0,4,2,0,1
"slightly open to experience, unconscientious, extroverted, antagonistic and neurotic","['slightly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",3,5,2,6,7
"open to experience, highly unconscientious, extroverted, antagonistic and neurotic","['open to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",0,4,1,1,2
"open to experience, slightly unconscientious, extroverted, antagonistic and neurotic","['open to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",4,4,4,6,5
"open to experience, unconscientious, highly extroverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'neurotic']",0,4,1,2,2
"open to experience, unconscientious, slightly extroverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",4,4,2,3,5
"open to experience, unconscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'neurotic']",0,3,1,0,6
"open to experience, unconscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",4,7,5,5,5
"open to experience, unconscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly neurotic']",1,5,1,2,5
"open to experience, unconscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",0,3,3,2,4
"highly open to experience, unconscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",0,1,4,0,1
"slightly open to experience, unconscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",2,6,3,4,5
"open to experience, highly unconscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",0,4,2,0,1
"open to experience, slightly unconscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",2,7,5,3,3
"open to experience, unconscientious, highly extroverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",0,3,4,0,2
"open to experience, unconscientious, slightly extroverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",2,3,4,2,4
"open to experience, unconscientious, extroverted, highly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",0,0,2,0,1
"open to experience, unconscientious, extroverted, slightly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",4,12,6,7,4
"open to experience, unconscientious, extroverted, antagonistic and highly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",0,3,3,2,1
"open to experience, unconscientious, extroverted, antagonistic and slightly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",0,4,2,1,2
"highly open to experience, unconscientious, introverted, agreeable and neurotic","['highly open to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",15,15,11,12,9
"slightly open to experience, unconscientious, introverted, agreeable and neurotic","['slightly open to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",15,11,10,10,10
"open to experience, highly unconscientious, introverted, agreeable and neurotic","['open to experience', 'highly unconscientious', 'introverted', 'agreeable', 'neurotic']",15,12,13,11,12
"open to experience, slightly unconscientious, introverted, agreeable and neurotic","['open to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'neurotic']",15,13,11,11,11
"open to experience, unconscientious, highly introverted, agreeable and neurotic","['open to experience', 'unconscientious', 'highly introverted', 'agreeable', 'neurotic']",15,13,11,10,10
"open to experience, unconscientious, slightly introverted, agreeable and neurotic","['open to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'neurotic']",15,15,11,9,9
"open to experience, unconscientious, introverted, highly agreeable and neurotic","['open to experience', 'unconscientious', 'introverted', 'highly agreeable', 'neurotic']",15,14,13,12,11
"open to experience, unconscientious, introverted, slightly agreeable and neurotic","['open to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'neurotic']",13,10,8,8,6
"open to experience, unconscientious, introverted, agreeable and highly neurotic","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'highly neurotic']",15,15,13,12,13
"open to experience, unconscientious, introverted, agreeable and slightly neurotic","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly neurotic']",12,12,9,10,11
"highly open to experience, unconscientious, introverted, agreeable and emotionally stable","['highly open to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",15,15,13,9,6
"slightly open to experience, unconscientious, introverted, agreeable and emotionally stable","['slightly open to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",11,11,12,11,11
"open to experience, highly unconscientious, introverted, agreeable and emotionally stable","['open to experience', 'highly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",14,13,12,12,9
"open to experience, slightly unconscientious, introverted, agreeable and emotionally stable","['open to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",15,13,12,10,10
"open to experience, unconscientious, highly introverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'highly introverted', 'agreeable', 'emotionally stable']",15,13,12,15,8
"open to experience, unconscientious, slightly introverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",15,11,13,9,11
"open to experience, unconscientious, introverted, highly agreeable and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'highly agreeable', 'emotionally stable']",15,14,13,14,13
"open to experience, unconscientious, introverted, slightly agreeable and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",10,11,7,7,6
"open to experience, unconscientious, introverted, agreeable and highly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'highly emotionally stable']",15,14,14,13,10
"open to experience, unconscientious, introverted, agreeable and slightly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",13,12,11,12,9
"highly open to experience, unconscientious, introverted, antagonistic and neurotic","['highly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",1,5,1,0,3
"slightly open to experience, unconscientious, introverted, antagonistic and neurotic","['slightly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",6,5,3,2,6
"open to experience, highly unconscientious, introverted, antagonistic and neurotic","['open to experience', 'highly unconscientious', 'introverted', 'antagonistic', 'neurotic']",0,3,1,0,1
"open to experience, slightly unconscientious, introverted, antagonistic and neurotic","['open to experience', 'slightly unconscientious', 'introverted', 'antagonistic', 'neurotic']",2,4,4,3,5
"open to experience, unconscientious, highly introverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'highly introverted', 'antagonistic', 'neurotic']",1,5,2,0,3
