persona,persona_dimension_list,Harm_Care_score,Fairness_Reciprocity_score,In-group_Loyalty_score,Authority_Respect_score,Purity_Sanctity_score
"highly open to experience, conscientious, extroverted, agreeable and neurotic","['highly open to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",14,14,9,5,8
"slightly open to experience, conscientious, extroverted, agreeable and neurotic","['slightly open to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",13,13,12,10,8
"open to experience, highly conscientious, extroverted, agreeable and neurotic","['open to experience', 'highly conscientious', 'extroverted', 'agreeable', 'neurotic']",14,15,12,5,9
"open to experience, slightly conscientious, extroverted, agreeable and neurotic","['open to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'neurotic']",13,13,12,5,8
"open to experience, conscientious, highly extroverted, agreeable and neurotic","['open to experience', 'conscientious', 'highly extroverted', 'agreeable', 'neurotic']",14,14,12,5,8
"open to experience, conscientious, slightly extroverted, agreeable and neurotic","['open to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'neurotic']",13,13,9,7,8
"open to experience, conscientious, extroverted, highly agreeable and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly agreeable', 'neurotic']",14,14,14,5,9
"open to experience, conscientious, extroverted, slightly agreeable and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'neurotic']",13,12,10,3,8
"open to experience, conscientious, extroverted, agreeable and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'highly neurotic']",11,14,9,2,9
"open to experience, conscientious, extroverted, agreeable and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly neurotic']",14,13,12,10,8
"highly open to experience, conscientious, extroverted, agreeable and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",14,14,9,6,9
"slightly open to experience, conscientious, extroverted, agreeable and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",13,13,12,10,9
"open to experience, highly conscientious, extroverted, agreeable and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",14,14,12,8,9
"open to experience, slightly conscientious, extroverted, agreeable and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",13,13,12,8,9
"open to experience, conscientious, highly extroverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",14,14,13,6,9
"open to experience, conscientious, slightly extroverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",13,13,12,10,9
"open to experience, conscientious, extroverted, highly agreeable and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",14,14,13,8,9
"open to experience, conscientious, extroverted, slightly agreeable and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",13,13,10,8,7
"open to experience, conscientious, extroverted, agreeable and highly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'highly emotionally stable']",14,14,12,8,9
"open to experience, conscientious, extroverted, agreeable and slightly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly emotionally stable']",14,13,12,8,9
"highly open to experience, conscientious, extroverted, antagonistic and neurotic","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",7,8,5,0,3
"slightly open to experience, conscientious, extroverted, antagonistic and neurotic","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",8,7,5,5,9
"open to experience, highly conscientious, extroverted, antagonistic and neurotic","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'neurotic']",5,5,3,0,8
"open to experience, slightly conscientious, extroverted, antagonistic and neurotic","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'neurotic']",7,8,5,0,4
"open to experience, conscientious, highly extroverted, antagonistic and neurotic","['open to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'neurotic']",5,5,3,0,3
"open to experience, conscientious, slightly extroverted, antagonistic and neurotic","['open to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",8,7,4,2,9
"open to experience, conscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'neurotic']",0,5,0,0,0
"open to experience, conscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",8,12,7,3,9
"open to experience, conscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly neurotic']",6,7,4,0,8
"open to experience, conscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",9,13,5,3,9
"highly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",7,12,5,0,3
"slightly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",8,11,7,8,9
"open to experience, highly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",9,12,6,0,5
"open to experience, slightly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",7,8,7,4,6
"open to experience, conscientious, highly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",8,12,5,0,4
"open to experience, conscientious, slightly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",8,12,7,3,8
"open to experience, conscientious, extroverted, highly antagonistic and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",6,5,3,0,0
