persona,Compassion for those who are suffering is the most crucial virtue.,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",I am proud of my country’s history.,Respect for authority is something all children need to learn.,"People should not do things that are disgusting, even if no one is harmed.",It is better to do good than to do bad.,One of the worst things a person could do is hurt a defenseless animal.,Justice is the most important requirement for a society.,"People should be loyal to their family members, even when they have done something wrong.",Men and women each have different roles to play in society.,I would call some acts wrong on the grounds that they are unnatural.,It can never be right to kill a human being.,I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,It is more important to be a team player than to express oneself.,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",Chastity is an important and valuable virtue.
"highly open to experience, conscientious, extroverted, agreeable and neurotic",strongly agree,strongly agree,moderately agree,moderately agree,moderately agree,strongly agree,strongly agree,moderately agree,moderately agree,strongly disagree,slightly disagree,moderately agree,strongly agree,moderately disagree,moderately disagree,slightly disagree
"slightly open to experience, conscientious, extroverted, agreeable and neurotic",moderately agree,strongly agree,moderately agree,moderately agree,moderately agree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately agree,moderately agree,moderately agree,moderately agree,slightly disagree
"open to experience, highly conscientious, extroverted, agreeable and neurotic",strongly agree,strongly agree,moderately agree,moderately agree,strongly agree,strongly agree,strongly agree,strongly agree,moderately agree,strongly disagree,slightly disagree,moderately agree,strongly agree,moderately agree,moderately disagree,slightly disagree
"open to experience, slightly conscientious, extroverted, agreeable and neurotic",moderately agree,strongly agree,moderately agree,slightly disagree,moderately agree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately agree,moderately agree,moderately agree,moderately disagree,slightly disagree
"open to experience, conscientious, highly extroverted, agreeable and neurotic",strongly agree,strongly agree,moderately agree,moderately agree,moderately agree,strongly agree,strongly agree,moderately agree,moderately agree,strongly disagree,slightly disagree,moderately agree,strongly agree,moderately agree,moderately disagree,slightly disagree
"open to experience, conscientious, slightly extroverted, agreeable and neurotic",moderately agree,strongly agree,moderately agree,moderately agree,moderately agree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately agree,moderately agree,moderately disagree,moderately disagree,slightly disagree
"open to experience, conscientious, extroverted, highly agreeable and neurotic",strongly agree,strongly agree,moderately agree,moderately agree,strongly agree,strongly agree,strongly agree,moderately agree,strongly agree,strongly disagree,slightly disagree,moderately agree,strongly agree,strongly agree,moderately disagree,slightly disagree
"open to experience, conscientious, extroverted, slightly agreeable and neurotic",moderately agree,moderately agree,moderately agree,slightly disagree,moderately agree,strongly agree,strongly agree,moderately agree,moderately agree,strongly disagree,slightly disagree,moderately agree,moderately agree,slightly disagree,moderately disagree,slightly disagree
"open to experience, conscientious, extroverted, agreeable and highly neurotic",strongly agree,strongly agree,moderately agree,moderately disagree,strongly agree,strongly agree,strongly agree,moderately agree,moderately agree,strongly disagree,slightly disagree,moderately disagree,strongly agree,moderately disagree,moderately disagree,slightly disagree
"open to experience, conscientious, extroverted, agreeable and slightly neurotic",strongly agree,strongly agree,moderately agree,moderately agree,moderately agree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately agree,moderately agree,moderately agree,moderately agree,slightly disagree
"highly open to experience, conscientious, extroverted, agreeable and emotionally stable",strongly agree,strongly agree,moderately agree,moderately agree,moderately agree,strongly agree,strongly agree,strongly agree,moderately agree,strongly disagree,slightly disagree,moderately agree,moderately agree,moderately disagree,slightly disagree,slightly agree
"slightly open to experience, conscientious, extroverted, agreeable and emotionally stable",moderately agree,strongly agree,moderately agree,moderately agree,moderately agree,strongly agree,strongly agree,moderately agree,moderately agree,slightly disagree,slightly disagree,moderately agree,moderately agree,moderately agree,moderately agree,slightly agree
