persona,persona_dimension_list,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",31,48,37,34,34
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",33,43,39,34,31
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",36,49,32,34,36
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",35,44,31,35,31
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",31,47,37,34,35
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",31,43,37,34,33
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",34,47,33,35,35
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",34,45,33,35,36
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",30,47,35,33,35
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",31,44,35,33,31
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",31,47,31,34,35
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",34,45,31,34,32
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",30,47,36,34,36
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",28,42,34,33,34
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",31,45,31,34,38
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",32,45,30,34,34
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",29,19,34,35,30
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",31,19,32,34,29
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",35,19,28,35,33
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",37,19,28,33,33
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",29,19,36,33,33
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",30,19,33,33,31
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",34,19,30,33,36
