persona,persona_dimension_list,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",36,50,45,36,42
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",37,43,42,36,34
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",38,49,31,36,43
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",38,44,31,34,34
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",35,49,42,39,45
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",36,42,42,34,35
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",37,47,29,40,43
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",36,44,31,32,34
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",32,49,46,42,42
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",35,44,43,39,35
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",35,49,28,42,42
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",37,44,28,35,33
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",32,46,47,44,47
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",35,40,42,35,37
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",34,46,26,42,48
"cares about the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",38,49,21,35,39
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",32,12,44,42,44
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",36,12,41,40,34
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",33,11,31,39,40
"is not concerned with the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",39,11,22,39,37
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",34,11,28,38,44
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",38,11,28,41,42
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",30,10,20,40,46
"is not concerned with the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",39,11,19,41,40
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",31,12,46,42,41
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",33,11,41,40,36
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",31,11,29,38,42
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",40,11,25,40,37
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",28,12,38,42,43
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",33,12,39,40,40
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",28,10,26,42,50
"is not concerned with the well-being of others, is not concerned with reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['is not concerned with the well-being of others', 'is not concerned with reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",36,10,17,40,42
